"CAM","ID","MIN","MAX","COORD"
-1538,7,185,185,1461119780
-1538,8,257,257,1461119780
-1538,9,297,297,1461119780
-1538,10,359,359,1461119780
-1538,11,383,383,1461119780
-1538,12,405,405,1461119780
-1538,13,465,465,1461119780
-1538,14,503,503,1461119780
-1538,15,503,503,1461119780
-1538,16,169,169,1461119780
-1538,17,203,203,1461119780
-1538,18,237,237,1461119780
-1538,19,267,267,1461119780
-1538,20,523,523,1461119780
-1538,21,483,483,1461119780
-1538,22,351,351,1461119780
-1538,23,411,411,1461119780
-1538,24,219,219,1461119780
-1538,25,335,335,1461119780
-1523,1,373,373,1514419240
-1523,2,567,567,1514419240
-1523,3,301,301,1514419240
-1523,4,457,457,1514419240
-1523,5,403,403,1514419240
-1523,6,423,423,1514419240
-1523,7,187,187,1514419240
-1523,8,255,255,1514419240
-1523,9,295,295,1514419240
-1523,10,359,359,1514419240
-1523,11,385,385,1514419240
-1523,12,407,407,1514419240
-1523,13,465,465,1514419240
-1523,14,505,505,1514419240
-1523,15,507,507,1514419240
-1523,16,171,171,1514419240
-1523,17,571,571,1514419240
-1523,18,239,239,1514419240
-1523,19,271,271,1514419240
-1523,20,525,525,1514419240
-1523,21,485,485,1514419240
-1523,22,355,355,1514419240
-1523,23,413,413,1514419240
-1523,24,219,219,1514419240
-1523,25,335,335,1514419240
-1506,1,373,373,1568418707
-1506,2,325,325,1568418707
-1506,3,297,297,1568418707
-1506,4,459,459,1568418707
-1506,5,405,405,1568418707
-1506,6,419,419,1568418707
-1506,7,187,187,1568418707
-1506,8,257,257,1568418707
-1506,9,297,297,1568418707
-1506,10,361,361,1568418707
-1506,11,385,385,1568418707
-1506,12,409,409,1568418707
-1506,13,467,467,1568418707
-1506,14,507,507,1568418707
-1506,15,507,507,1568418707
-1506,16,171,171,1568418707
-1506,17,205,205,1568418707
-1506,18,239,239,1568418707
-1506,19,271,271,1568418707
-1506,20,525,525,1568418707
-1506,21,485,485,1568418707
-1506,22,351,351,1568418707
-1506,23,413,413,1568418707
-1506,24,223,223,1568418707
-1506,25,339,339,1568418707
-1490,1,377,377,1623118197
-1490,2,327,327,1623118197
-1490,3,305,305,1623118197
-1490,4,467,467,1623118197
-1490,5,413,413,1623118197
-1490,6,423,423,1623118197
-1490,7,189,189,1623118197
-1490,8,263,263,1623118197
-1490,9,301,301,1623118197
-1490,10,363,363,1623118197
-1490,11,387,387,1623118197
-1490,12,409,409,1623118197
-1490,13,469,469,1623118197
-1490,14,509,509,1623118197
-1490,15,511,511,1623118197
-1490,16,175,175,1623118197
-1490,17,209,209,1623118197
-1490,18,241,241,1623118197
-1490,19,273,273,1623118197
-1490,20,529,529,1623118197
-1490,21,495,495,1623118197
-1490,22,357,357,1623118197
-1490,23,415,415,1623118197
-1490,24,227,227,1623118197
-1490,25,341,341,1623118197
-1475,1,377,377,1680117695
-1475,2,333,333,1680117695
-1475,3,305,305,1680117695
-1475,4,463,463,1680117695
-1475,5,409,409,1680117695
-1475,6,423,423,1680117695
-1475,7,191,191,1680117695
-1475,8,265,265,1680117695
-1475,9,301,301,1680117695
-1475,10,365,365,1680117695
-1475,11,389,389,1680117695
-1475,12,411,411,1680117695
-1475,13,471,471,1680117695
-1475,14,513,513,1680117695
-1475,15,155,155,1680117695
-1475,16,175,175,1680117695
-1475,17,211,211,1680117695
-1475,18,243,243,1680117695
-1475,19,273,273,1680117695
-1475,20,531,531,1680117695
-1475,21,485,485,1680117695
-1475,22,351,351,1680117695
-1475,23,417,417,1680117695
-1475,24,227,227,1680117695
-1475,25,341,341,1680117695
-1459,1,377,377,1737917215
-1459,2,331,331,1737917215
-1459,3,305,305,1737917215
-1459,4,463,463,1737917215
-1459,5,407,407,1737917215
-1459,6,429,429,1737917215
-1459,7,191,191,1737917215
-1459,8,265,265,1737917215
-1459,9,303,303,1737917215
-1459,10,367,367,1737917215
-1459,11,391,391,1737917215
-1459,12,413,413,1737917215
-1459,13,475,475,1737917215
-1459,14,515,515,1737917215
-1459,15,153,153,1737917215
-1459,16,177,177,1737917215
-1459,17,213,213,1737917215
-1459,18,247,247,1737917215
-1459,19,277,277,1737917215
-1459,20,533,533,1737917215
-1459,21,489,489,1737917215
-1459,22,351,351,1737917215
-1459,23,421,421,1737917215
-1459,24,229,229,1737917215
-1459,25,345,345,1737917215
-1441,1,377,377,1796416742
-1441,2,329,329,1796416742
-1441,3,309,309,1796416742
-1441,4,469,469,1796416742
-1441,5,413,413,1796416742
-1441,6,429,429,1796416742
-1441,7,193,193,1796416742
-1441,8,265,265,1796416742
-1441,9,307,307,1796416742
-1441,10,371,371,1796416742
-1441,11,395,395,1796416742
-1441,12,415,415,1796416742
-1441,13,475,475,1796416742
-1441,14,517,517,1796416742
-1441,15,153,153,1796416742
-1441,16,179,179,1796416742
-1441,17,581,581,1796416742
-1441,18,247,247,1796416742
-1441,19,279,279,1796416742
-1441,20,535,535,1796416742
-1441,21,483,483,1796416742
-1441,22,353,353,1796416742
-1441,23,423,423,1796416742
-1441,24,231,231,1796416742
-1441,25,347,347,1796416742
-1426,1,383,383,1856416285
-1426,2,335,335,1856416285
-1426,3,305,305,1856416285
-1426,4,467,467,1856416285
-1426,5,411,411,1856416285
-1426,6,425,425,1856416285
-1426,7,193,193,1856416285
-1426,8,267,267,1856416285
-1426,9,307,307,1856416285
-1426,10,369,369,1856416285
-1426,11,395,395,1856416285
